"Target","ChoiceOption","ClipNumber","PID","condType","percent.chosen","speaker.sentiment","speaker.clout","overall.sentiment","recent.sentiment","cumulative.sentiment","overall.clout","recent.clout","cumulative.clout","recent.similarity","mean.wordcount"
"Alicia","Amber",1,1,"Win",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",1,2,"Friend",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",1,3,"Friend",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",1,4,"Win",0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",1,5,"Win",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",1,6,"Rival",0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",1,7,"Rival",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",1,8,"Win",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",1,9,"Rival",0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",1,10,"Win",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",1,11,"Rival",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",1,12,"Rival",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",1,13,"Win",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",1,14,"Win",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",1,15,"Win",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",1,16,"Win",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",1,18,"Friend",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",1,19,"Friend",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",1,20,"Win",0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",1,21,"Friend",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",1,22,"Win",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",1,23,"Rival",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",1,24,"Friend",0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",1,25,"Rival",0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",1,26,"Win",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",1,27,"Win",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",1,28,"Rival",0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",1,30,"Win",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alicia","Amber",1,31,"Win",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
