"Target","ChoiceOption","ClipNumber","PID","BlockType","percent.chosen","speaker.sentiment","speaker.clout","overall.sentiment","recent.sentiment","cumulative.sentiment","overall.clout","recent.clout","cumulative.clout","recent.similarity","mean.wordcount"
"Alicia","Amber",2,7,"Rival",0.4,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,37,"Rival",0.2,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,5,"Rival",0.2,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,3,"Friend",0.8,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,28,"Friend",0,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,42,"Friend",0.2,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,26,"Friend",0.4,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,51,"Win",1,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,49,"Rival",0.75,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,1,"Rival",0.6,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,60,"Rival",0.6,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,34,"Rival",0.4,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,9,"Friend",0.4,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,36,"Rival",0.8,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
"Alicia","Amber",2,44,"Win",0.2,0.0744828785478947,49.6744,0.2,0.2,0.2,69.405,69.405,69.405,0.48301935,8
