"","Target","ChoiceOption","ClipNumber","PID","condType","percent.chosen","Speaker","Recipient","dyad","recent.similarity"
"1","Alicia","Amber",1,1,"Win",0.4,"Alicia","Amber","AliciaAmber",0.4503857
"2","Alicia","Amber",1,2,"Friend",0.6,"Alicia","Amber","AliciaAmber",0.4503857
"3","Alicia","Amber",1,3,"Friend",0.8,"Alicia","Amber","AliciaAmber",0.4503857
"4","Alicia","Amber",1,4,"Win",0.75,"Alicia","Amber","AliciaAmber",0.4503857
"5","Alicia","Amber",1,5,"Win",0.8,"Alicia","Amber","AliciaAmber",0.4503857
"6","Alicia","Amber",1,6,"Rival",0.2,"Alicia","Amber","AliciaAmber",0.4503857
"7","Alicia","Amber",1,7,"Rival",0,"Alicia","Amber","AliciaAmber",0.4503857
"8","Alicia","Amber",1,8,"Win",1,"Alicia","Amber","AliciaAmber",0.4503857
"9","Alicia","Amber",1,9,"Rival",0.2,"Alicia","Amber","AliciaAmber",0.4503857
"10","Alicia","Amber",1,10,"Win",1,"Alicia","Amber","AliciaAmber",0.4503857
"11","Alicia","Amber",1,11,"Rival",1,"Alicia","Amber","AliciaAmber",0.4503857
"12","Alicia","Amber",1,12,"Rival",0,"Alicia","Amber","AliciaAmber",0.4503857
"13","Alicia","Amber",1,13,"Win",0.8,"Alicia","Amber","AliciaAmber",0.4503857
"14","Alicia","Amber",1,14,"Win",0.8,"Alicia","Amber","AliciaAmber",0.4503857
"15","Alicia","Amber",1,15,"Win",0.4,"Alicia","Amber","AliciaAmber",0.4503857
"16","Alicia","Amber",1,16,"Win",1,"Alicia","Amber","AliciaAmber",0.4503857
"17","Alicia","Amber",1,18,"Friend",1,"Alicia","Amber","AliciaAmber",0.4503857
"18","Alicia","Amber",1,19,"Friend",0.6,"Alicia","Amber","AliciaAmber",0.4503857
"19","Alicia","Amber",1,20,"Win",0.75,"Alicia","Amber","AliciaAmber",0.4503857
"20","Alicia","Amber",1,21,"Friend",0.8,"Alicia","Amber","AliciaAmber",0.4503857
"21","Alicia","Amber",1,22,"Win",0.6,"Alicia","Amber","AliciaAmber",0.4503857
"22","Alicia","Amber",1,23,"Rival",1,"Alicia","Amber","AliciaAmber",0.4503857
"23","Alicia","Amber",1,24,"Friend",0.6,"Alicia","Amber","AliciaAmber",0.4503857
"24","Alicia","Amber",1,25,"Rival",0.2,"Alicia","Amber","AliciaAmber",0.4503857
"25","Alicia","Amber",1,26,"Win",0.8,"Alicia","Amber","AliciaAmber",0.4503857
"26","Alicia","Amber",1,27,"Win",0.4,"Alicia","Amber","AliciaAmber",0.4503857
"27","Alicia","Amber",1,28,"Rival",0.25,"Alicia","Amber","AliciaAmber",0.4503857
"28","Alicia","Amber",1,30,"Win",0,"Alicia","Amber","AliciaAmber",0.4503857
"29","Alicia","Amber",1,31,"Win",0.5,"Alicia","Amber","AliciaAmber",0.4503857
"30","Alicia","Amber",1,32,"Rival",0.4,"Alicia","Amber","AliciaAmber",0.4503857
"31","Alicia","Amber",1,33,"Win",1,"Alicia","Amber","AliciaAmber",0.4503857
"32","Alicia","Amber",1,34,"Win",0.8,"Alicia","Amber","AliciaAmber",0.4503857
"33","Alicia","Amber",1,35,"Win",0.6,"Alicia","Amber","AliciaAmber",0.4503857
"34","Alicia","Amber",1,36,"Friend",0.8,"Alicia","Amber","AliciaAmber",0.4503857
"35","Alicia","Amber",1,37,"Friend",0.8,"Alicia","Amber","AliciaAmber",0.4503857
"36","Alicia","Amber",1,39,"Friend",0.75,"Alicia","Amber","AliciaAmber",0.4503857
"37","Alicia","Amber",1,40,"Friend",1,"Alicia","Amber","AliciaAmber",0.4503857
"38","Alicia","Amber",1,41,"Friend",0.8,"Alicia","Amber","AliciaAmber",0.4503857
"39","Alicia","Amber",1,42,"Rival",0,"Alicia","Amber","AliciaAmber",0.4503857
"40","Alicia","Amber",1,43,"Friend",0.8,"Alicia","Amber","AliciaAmber",0.4503857
"41","Alicia","Amber",1,44,"Friend",0.4,"Alicia","Amber","AliciaAmber",0.4503857
"42","Alicia","Amber",1,45,"Friend",0.6,"Alicia","Amber","AliciaAmber",0.4503857
"43","Alicia","Amber",1,46,"Win",0.4,"Alicia","Amber","AliciaAmber",0.4503857
"44","Alicia","Amber",1,47,"Friend",0.4,"Alicia","Amber","AliciaAmber",0.4503857
"45","Alicia","Amber",1,48,"Friend",1,"Alicia","Amber","AliciaAmber",0.4503857
"46","Alicia","Amber",1,49,"Win",0.6,"Alicia","Amber","AliciaAmber",0.4503857
"47","Alicia","Amber",1,50,"Friend",0.333333333333333,"Alicia","Amber","AliciaAmber",0.4503857
"48","Alicia","Amber",1,51,"Friend",0.6,"Alicia","Amber","AliciaAmber",0.4503857
"49","Alicia","Amber",1,52,"Win",0.75,"Alicia","Amber","AliciaAmber",0.4503857
"50","Alicia","Amber",1,53,"Rival",0.4,"Alicia","Amber","AliciaAmber",0.4503857
"51","Alicia","Amber",1,54,"Win",1,"Alicia","Amber","AliciaAmber",0.4503857
"52","Alicia","Amber",1,55,"Friend",0.6,"Alicia","Amber","AliciaAmber",0.4503857
"53","Alicia","Amber",1,56,"Rival",0.25,"Alicia","Amber","AliciaAmber",0.4503857
"54","Alicia","Amber",1,57,"Friend",1,"Alicia","Amber","AliciaAmber",0.4503857
"55","Alicia","Amber",1,58,"Friend",0.6,"Alicia","Amber","AliciaAmber",0.4503857
"56","Alicia","Amber",1,59,"Rival",0.4,"Alicia","Amber","AliciaAmber",0.4503857
"57","Alicia","Amber",1,60,"Win",0.2,"Alicia","Amber","AliciaAmber",0.4503857
"58","Alicia","Amber",2,7,"Rival",0.4,"Alicia","Amber","AliciaAmber",0.48301935
"59","Alicia","Amber",2,37,"Rival",0.2,"Alicia","Amber","AliciaAmber",0.48301935
