ClipNumber,Dialogue,Speaker,Recipient,RecipientType
1,"Well, last night was really emotional. Um, I got really choked up when they voted Kathy out. The smug, horrible Chaperan superior tribe pagonging all of us Mogo Mogo members, you know basically voting one after another out. I knew Kathy was going, and I just got really emotional because she was my rock out here. And she was my one true friend. And now that she's gone, I don't have anyone here. I've got no one.",ShiiAnn,Camera,Camera
1,I know I'm slated next to go.,ShiiAnn,Rob,One Person
1,Mh-hmm.,Rob,ShiiAnn,One Person
1,"And you know I have to play the game was hard as I can before I go. So, I'm just asking you straight up, you know, are you going to keep up with your original six, or are you going to be willing to look at other possibilities.",ShiiAnn,Rob,One Person
1,"Yeah like honestly, I'm going to stay with my plan.",Rob,ShiiAnn,One Person
1,"That's cool, you got to play your last card.",ShiiAnn,Rob,One Person
1,Win immunity.,Rob,ShiiAnn,One Person
1,I'm going to try to win immunity. I will.,ShiiAnn,Rob,One Person
1,"You've got to beat me, though, cause I need it just as much as you. I know I do, you know?",Rob,ShiiAnn,One Person
1,I know you do.,ShiiAnn,Rob,One Person
1,"I'm extremely vulnerable right now and chances of me making it to the final two are slim. So, at this point, my best chances is to play as hard as I can, call everyone on their game and stir it up before I leave.",ShiiAnn,Camera,Camera
1,"If you make it to the final two, I'll be shocked.",ShiiAnn,Rob,One Person
1,I know.,Rob,ShiiAnn,One Person
1,"With your strategy, current strategy. And I hope you do well, but, you know. I'm wishing myself luck in the next immunity challenge.",ShiiAnn,Rob,One Person
1,She tried telling me what my strategy should be.,Rob,Tribe,Group
1,Right.,Alicia,Rob,One Person
1,"You need to watch out for this person, you need to watch out for this one.",Rob,Tribe,Group
1,Here we go.,Alicia,Rob,One Person
1,"She's doing that. Just with patient and listened to her. I was like ""all right, thanks for the info, ShiiAnn."" Just collectively as a group, we got to make sure she don't win immunity.",Rob,Tribe,Group
1,"Hell yeah, that's the whole goal.",Rupert,Rob,One Person
1,That's it.,Rob,Tribe,Group
1,"Can it rain any more here? Look, there's a bump on it.",Rob,Amber,One Person
1,Oh yeah.,Amber,Rob,One Person
1,"Wow, it's a mask.",ShiiAnn,Tribe,Group
1,"It says ""a no-lose situation, this ones not a race. Is everyone a winner? Try not to lose face. In touch with your own feelings? What do your tribe mates think? If you're the last one standing, you'll decide what they eat and drink.""",Amber,Tribe,Group
1,So maybe you get to choose whether or not you want to share food?,ShiiAnn,Tribe,Group
1,So maybe you choose what everybody eats?,Alicia,Tribe,Group
1,I want everybody to eat and drink.,Rupert,Tribe,Group
1,The rain doesn't let up. We can't fish in these conditions. We can't cook in these conditions. So we are all hoping we're playing for food.,Alicia,Camera,Camera
1,"Try not to lose face, is maybe three chops and your face is smashed and you're out.",Rupert,Tribe,Group
1,"I'm hoping food or something but I'm really looking forward to it because it's just a miserable day. ooga, ga, ga, ooga, go, ga. hey- a, ho-a, ha.",Tom,Tribe,Group
1,Dumb ass.,Rob,Tom,One Person
1,Rain ponchos coming in handy.,Probst,Tribe,Group
1,Amber and I are the same person just slightly different hair.,Jenna,Tribe,Group
1,Look at me.,Alicia,Tribe,Group
1,I have a very strange expression on our faces.,ShiiAnn,Tribe,Group
1,"All right, let's get to the first part of today's reward challenge. I'm gonna hand each of you a questionnaire about your fellow tribe mates. The idea here is to find out what you really think about each other. So answer honestly. Don't discuss your answers with anybody. Make sense? All right, give you a couple minutes to do this. Find a little spot, step away from each other. All right guys. The results have been tallied. I'm going to ask you the same exact questions again, only this time your answers should be based on how you think the majority of the tribe answered. Every time your answer matches what the tribe said, you get to make one chop on a tribe mate's row. Three chops release a battering ram and you're out of the game. Last person left standing wins reward. The reward is food. However, all of you will be picked up by boat and taken to a local Panamanian restaurant. On the menu are seven items.",Probst,Tribe,Group
1,Wow.,Amber,Tribe,Group
1,"Each item increases in value and taste, everything from a bowl of rice and a glass of water from your own camp to a full-on steak dinner with all the fixings. The winner will be in charge of that menu.",Probst,Tribe,Group
1,"Oh, my God!",Amber,Tribe,Group
1,"Here's the rub: You cannot share your meal. Somebody will get a whole lot, and somebody is gonna get very little. All right, let's get started. First question: who would you trust with your life? Everybody reveal. The group thought Rob. Alicia got it right. Amber got it right. Rob, you didn't even get it right. Alicia you get the first chop.",Probst,Tribe,Group
1,"Alicia, you get the first chop.",Probst,Alicia,One Person
1,"Oh, ShiiAnn, ShiiAnn.",Alicia,Tribe,Group
1,Surprise.,ShiiAnn,Tribe,Group
1,"Amber, you're up. Who's getting the damage?",Probst,Amber,One Person
1,I'm going to go for Big Tom since he stole my pot in that one challenge.,Amber,Tribe,Group
1,Now we're going to get catty. Who does not deserve to be an all-star? Not an easy question to answer in front of each other. Reveal. It was a tie. ShiiAnn.,Probst,Tribe,Group
1,Surprise.,ShiiAnn,Probst,One Person
1,Alicia.,Probst,Tribe,Group
1,Nice.,Alicia,Probst,One Person
1,"Hearing that from the rest of the tribe, what's that make you feel?",Probst,Alicia,One Person
1,"Yeah, it's a shot in the heart. I'll get them all later.",Alicia,Probst,One Person
1,"Well, everybody got it right. Everybody gets a chop. We'll start on the end and work down.",Probst,Tribe,Group
1,"Well, since my own tribe mates think I don't deserve to be here, Rob, you're going first.",Alicia,Tribe,Group
1,Rob takes a hit.,Probst,Tribe,Group
1,How do you like that baby?,Alicia,Rob,One Person
1,Jenna?,Probst,Jenna,One Person
1,I'm going to go with Big Tom.,Jenna,Tribe,Group
1,Big Tom takes his second hit. One hit away from being out of the game. ShiiAnn.,Probst,Tribe,Group
1,ShiiAnn.,Probst,ShiiAnn,One Person
1,Hey Alicia I got to pay you back.,ShiiAnn,Tribe,Group
